cod_scuola,comune,diplomati_in_regola_pct,eduscopio_id_comune,eduscopio_indirizzo_score,eduscopio_score_tipo,id_diploma,indirizzo_eduscopio,indirizzo_scuola_eduscopio,lav_coerenza_pct,lav_diplomati,lav_occupazione_pct,lav_score,nome_scuola_eduscopio,num_diplomati_x_coorte,peso_diplomati,scuola_paritaria,uni_crediti,uni_diplomati,uni_fga,uni_media_voti
BSPC045009,ADRO,92.0,17002,66.97,uni_fga,1,Classico,VIA NIGOLINE 36,,,,,MADONNA DELLA NEVE,16,16.0,1,65.75,16,66.97,26.18
BSPS06500N,ADRO,76.1,17002,74.47,uni_fga,2,Scientifico,VIA NIGOLINE 36,,,,,MADONNA DELLA NEVE,22,22.0,1,72.89,22,74.47,27.13
BSPLLZ5006,ADRO,81.0,17002,52.29,uni_fga,7,Linguistico,VIA NIGOLINE 36,,,,,MADONNA DELLA NEVE,21,21.0,1,51.31,21,52.29,24.39
MIPS28500P,BUSNAGO,0.0,108051,,uni_fga,2,Scientifico,VIA MANZONI 13,,,,,COLLEGIO SANT'ANTONIO,0,0,1,,0,,
MIPSIE500B,BUSNAGO,80.0,108051,63.04,uni_fga,3,Scientifico - Scienze applicate,VIA MANZONI 13,,,,,COLLEGIO SANT'ANTONIO,18,18.0,1,60.43,18,63.04,25.88
MBPS10000P,DESIO,75.2,108023,78.96,uni_fga,1,Classico,VIA GAETANA AGNESI 20,,,,,ETTORE MAJORANA,62,62.0,0,80.14,62,78.96,27.33
MBPS10000P,DESIO,72.7,108023,80.74,uni_fga,2,Scientifico,VIA GAETANA AGNESI 20,,,,,ETTORE MAJORANA,127,127.0,0,83.31,127,80.74,27.38
MBPS10000P,DESIO,66.7,108023,77.07,uni_fga,3,Scientifico - Scienze applicate,VIA GAETANA AGNESI 20,,,,,ETTORE MAJORANA,61,61.0,0,86.0,61,77.07,26.18
MBTF050001,DESIO,62.6,108023,62.45,uni_fga,3,Scientifico - Scienze applicate,VIA GAETANA AGNESI 24,,,,,ENRICO FERMI,41,41.0,0,70.41,41,62.45,24.54
MBTF050001,DESIO,51.9,108023,56.7,uni_lavoro_50_50,10,Tecnico - Tecnologico,VIA GAETANA AGNESI 24,50.39,96,76.81,67.56,ENRICO FERMI,96,96.0,0,43.31,96,45.84,23.8
CNPS010003,FOSSANO,74.0,4089,93.18,uni_fga,2,Scientifico,PZZA DON MARIO PICCO 6,,,,,GIOVENALE ANCINA,24,24.0,0,92.93,24,93.18,29.21
CNTF017022,FOSSANO,71.1,4089,88.86,uni_fga,3,Scientifico - Scienze applicate,VIA SAN MICHELE 68,,,,,GIANCARLO VALLAURI,56,56.0,0,93.63,56,88.86,28.09
CNPS010003,FOSSANO,76.3,4089,73.88,uni_fga,5,Scienze Umane,PZZA DON MARIO PICCO 6,,,,,GIOVENALE ANCINA,50,50.0,0,78.79,50,73.88,26.28
CNPS010003,FOSSANO,68.1,4089,84.61,uni_fga,7,Linguistico,PZZA DON MARIO PICCO 6,,,,,GIOVENALE ANCINA,34,34.0,0,85.55,34,84.61,28.04
CNTD01701P,FOSSANO,61.8,4089,67.05,uni_lavoro_50_50,9,Tecnico - Economico,VIA SAN GIOVANNI BOSCO 29,40.54,47,83.76,68.63,GIANCARLO VALLAURI,47,47.0,0,70.51,47,65.47,25.25
CNTF017022,FOSSANO,55.7,4089,73.9,uni_lavoro_50_50,10,Tecnico - Tecnologico,VIA SAN MICHELE 68,61.41,215,86.17,77.5,GIANCARLO VALLAURI,215,215.0,0,70.44,215,70.29,26.42
CNRA012019,FOSSANO,62.8,4089,51.82,lavoro,11,Professionale - Servizi,VLE MONSIGNOR ROSTAGNO 16,37.66,52,59.44,51.82,UMBERTO I,52,52.0,0,,,,
LCPS020004,MERATE,78.6,97048,88.5,uni_fga,2,Scientifico,VIA DEI LODOVICHI 10,,,,,MARIA GAETANA AGNESI,89,89.0,0,88.03,89,88.5,28.68
LCPS020004,MERATE,57.1,97048,81.82,uni_fga,3,Scientifico - Scienze applicate,VIA DEI LODOVICHI 10,,,,,MARIA GAETANA AGNESI,46,46.0,0,87.05,46,81.82,27.19
LCPS020004,MERATE,78.3,97048,73.86,uni_fga,7,Linguistico,VIA DEI LODOVICHI 10,,,,,MARIA GAETANA AGNESI,66,66.0,0,76.82,66,73.86,26.51
LCTD00101G,MERATE,53.9,97048,56.13,uni_lavoro_50_50,9,Tecnico - Economico,VIA DEI LODOVICHI 2,28.71,108,60.27,49.22,FRANCESCO VIGANO',108,108.0,0,68.02,108,63.05,24.97
LCTF00101T,MERATE,51.3,97048,52.93,uni_lavoro_50_50,10,Tecnico - Tecnologico,VIA DEI LODOVICHI 2,44.0,87,48.5,46.92,FRANCESCO VIGANO',87,87.0,0,70.26,87,58.94,23.72
VVPC04000D,NICOTERA,70.8,102025,55.83,uni_fga,1,Classico,PZZA FRANCESCO RAIMONDO,,,,,BRUNO - VINCI,38,38.0,0,58.93,38,55.83,24.33
VVTF04000P,NICOTERA,42.7,102025,25.5,uni_o_lavoro,10,Tecnico - Tecnologico,PZZA FRANCESCO RAIMONDO,10.26,36,33.7,25.5,BRUNO - VINCI,36,36.0,0,,36,,
TVPC035005,POSSAGNO,0.0,26061,,uni_fga,1,Classico,PTTA PIO X 3,,,,,ISTITUTO CAVANIS,0,0,1,,0,,
TVPS05500D,POSSAGNO,0.0,26061,,uni_fga,2,Scientifico,PTTA PIO X 3,,,,,ISTITUTO CAVANIS,0,0,1,,0,,
TVPS05500D,POSSAGNO,0.0,26061,,uni_fga,3,Scientifico - Scienze applicate,PTTA PIO X 3,,,,,ISTITUTO CAVANIS,0,0,1,,0,,
TVPM4Q500B,POSSAGNO,0.0,26061,,uni_fga,6,Scienze Umane - Economico sociale,VIA DEGLI IMPIANTI SPORTIVI 8,,,,,ISTITUTO CAVANIS,0,0,1,,0,,
TVPL07500D,POSSAGNO,0.0,26061,,uni_fga,7,Linguistico,PTTA PIO X 3,,,,,ISTITUTO CAVANIS,0,0,1,,0,,
