slug,comune,provincia,regione,scuole_totali_docente,anno_dati_invalsi,italiano_ii_pct,matematica_ii_pct,italiano_v_pct,matematica_v_pct,media_superiori_pct,metriche_sopra_merate,sopra_merate_tutte4,pari_o_sopra_merate_tutte4,distanza_media_da_merate,margine_minimo_vs_merate,metriche_superiori_presenti,dati_superiori_completi,url,errore
desio,DESIO,MONZA E DELLA BRIANZA,Lombardia,27,2024-25,88.0,89.0,81.0,93.0,87.75,3,False,True,5.25,0.0,4,True,https://www.docente.it/migliori-scuole/desio,
busnago,BUSNAGO,MONZA E DELLA BRIANZA,Lombardia,10,2024-25,80.0,95.0,75.0,92.0,85.5,3,False,False,3.0,-6.0,4,True,https://www.docente.it/migliori-scuole/busnago,
fossano,FOSSANO,CUNEO,Piemonte,27,2024-25,84.0,91.0,77.0,89.0,85.25,3,False,False,2.75,-4.0,4,True,https://www.docente.it/migliori-scuole/fossano,
nicotera,NICOTERA,VIBO VALENTIA,Calabria,13,2024-25,93.0,93.0,72.0,82.0,85.0,2,False,False,2.5,-9.0,4,True,https://www.docente.it/migliori-scuole/nicotera,
adro,ADRO,BRESCIA,Lombardia,11,2024-25,87.0,85.0,79.0,84.0,83.75,1,False,False,1.25,-2.0,4,True,https://www.docente.it/migliori-scuole/adro,
possagno,POSSAGNO,TREVISO,Veneto,8,2024-25,90.0,86.0,91.0,66.0,83.25,2,False,False,0.75,-19.0,4,True,https://www.docente.it/migliori-scuole/possagno,
rivarolo-canavese,RIVAROLO CANAVESE,TORINO,Piemonte,20,2024-25,78.0,78.0,76.0,82.0,78.5,1,False,False,-4.0,-9.0,4,True,https://www.docente.it/migliori-scuole/rivarolo-canavese,
thiene,THIENE,VICENZA,Veneto,21,2024-25,79.0,82.0,73.0,79.0,78.25,1,False,False,-4.25,-8.0,4,True,https://www.docente.it/migliori-scuole/thiene,
gorla-minore,GORLA MINORE,VARESE,Lombardia,10,2024-25,76.0,80.0,83.0,72.0,77.75,1,False,False,-4.75,-13.0,4,True,https://www.docente.it/migliori-scuole/gorla-minore,
mogliano-veneto,MOGLIANO VENETO,TREVISO,Veneto,30,2024-25,81.0,78.0,74.0,75.0,77.0,1,False,False,-5.5,-10.0,4,True,https://www.docente.it/migliori-scuole/mogliano-veneto,
riva-del-garda,RIVA DEL GARDA,TRENTO,Trentino-Alto Adige,14,2024-25,80.0,78.0,72.0,74.0,76.0,1,False,False,-6.5,-11.0,4,True,https://www.docente.it/migliori-scuole/riva-del-garda,
calcinate,CALCINATE,BERGAMO,Lombardia,9,2024-25,80.0,70.0,78.0,66.0,73.5,1,False,False,-9.0,-19.0,4,True,https://www.docente.it/migliori-scuole/calcinate,
cles,CLES,TRENTO,Trentino-Alto Adige,9,2024-25,80.0,76.0,64.0,69.0,72.25,1,False,False,-10.25,-17.0,4,True,https://www.docente.it/migliori-scuole/cles,
albano-laziale,ALBANO LAZIALE,ROMA,Lazio,29,2024-25,84.0,68.0,83.0,53.0,72.0,2,False,False,-10.5,-32.0,4,True,https://www.docente.it/migliori-scuole/albano-laziale,
albenga,ALBENGA,SAVONA,Liguria,27,2024-25,79.0,68.0,76.0,64.0,71.75,1,False,False,-10.75,-21.0,4,True,https://www.docente.it/migliori-scuole/albenga,
conversano,CONVERSANO,BARI,Puglia,21,2024-25,78.0,72.0,69.0,56.0,68.75,1,False,False,-13.75,-29.0,4,True,https://www.docente.it/migliori-scuole/conversano,
casapulla,CASAPULLA,CASERTA,Campania,12,2024-25,30.0,20.0,100.0,52.0,50.5,1,False,False,-32.0,-67.0,4,True,https://www.docente.it/migliori-scuole/casapulla,
sassano,SASSANO,SALERNO,Campania,9,2024-25,75.0,100.0,6.0,21.0,50.5,1,False,False,-32.0,-75.0,4,True,https://www.docente.it/migliori-scuole/sassano,
camposano,CAMPOSANO,NAPOLI,Campania,7,2024-25,80.0,80.0,21.0,14.0,48.75,1,False,False,-33.75,-71.0,4,True,https://www.docente.it/migliori-scuole/camposano,
