comune,provincia,codice,nome,grado,indirizzo,url
ADRO,BRESCIA,BSIC835008,I. C. STATALE ADRO,Scuola,"VIA NIGOLINE 16, 25030 ADRO ( BRESCIA )",https://www.docente.it/scuola/i-c-statale-adro-bsic835008
ADRO,BRESCIA,BSEE83501A,ADRO CAP.,Scuola Primaria,"VIA NIGOLINE 16, 25030 ADRO ( BRESCIA )",https://www.docente.it/scuola/adro-cap-bsee83501a
ADRO,BRESCIA,BS1E017003,MADONNA DELLA NEVE,Scuola Primaria,"Via Nigoline 36, 25030 ADRO ( BRESCIA )",https://www.docente.it/scuola/madonna-della-neve-adro-bs1e017003
ADRO,BRESCIA,BSMM835019,F.LLI DANDOLO - ADRO,Scuola Secondaria di Primo Grado,"VIA NIGOLINE 16, 25030 ADRO ( BRESCIA )",https://www.docente.it/scuola/f-lli-dandolo-adro-bsmm835019
ADRO,BRESCIA,BS1M004006,MADONNA DELLA NEVE,Scuola Secondaria di Primo Grado,"Via Nigoline 36, 25030 ADRO ( BRESCIA )",https://www.docente.it/scuola/madonna-della-neve-adro-bs1m004006
ADRO,BRESCIA,BSPC12500Q,Liceo Classico quadriennale Madonna della Neve,Scuola Secondaria di Secondo Grado,"Via Nigoline 36, 25030 ADRO ( BRESCIA )",https://www.docente.it/scuola/liceo-classico-quadriennale-madonna-della-neve-adro-bspc12500q
ADRO,BRESCIA,BSPLLZ5006,"Liceo Linguistico ""Madonna della Neve""",Scuola Secondaria di Secondo Grado,"Via Nigoline 36, 25030 ADRO ( BRESCIA )",https://www.docente.it/scuola/liceo-linguistico-madonna-della-neve-adro-bspllz5006
ADRO,BRESCIA,BSPS06500N,"Liceo Scientifico ""Madonna della Neve""",Scuola Secondaria di Secondo Grado,"Via Nigoline 36, 25030 ADRO ( BRESCIA )",https://www.docente.it/scuola/liceo-scientifico-madonna-della-neve-adro-bsps06500n
ADRO,BRESCIA,BS1A885001,NEW GREEN SCHOOL,Scuola dell'Infanzia,"VIA PER TORBIATO 5, 25030 ADRO ( BRESCIA )",https://www.docente.it/scuola/new-green-school-adro-bs1a885001
ADRO,BRESCIA,BSAA835015,SCUOLA MATERNA DI ADRO,Scuola dell'Infanzia,"VIA NIGOLINE 16, 25030 ADRO ( BRESCIA )",https://www.docente.it/scuola/scuola-materna-di-adro-bsaa835015
ADRO,BRESCIA,BS1A041002,VIRGINIA ROMANINI,Scuola dell'Infanzia,"VIA DOSSO 9, 25030 ADRO ( BRESCIA )",https://www.docente.it/scuola/virginia-romanini-adro-bs1a041002
BUSNAGO,MONZA E DELLA BRIANZA,MBIC8DP002,IC BUSNAGO,Scuola,"VIA DEL CAMPO 4, 20874 BUSNAGO ( MONZA E DELLA BRIANZA )",https://www.docente.it/scuola/busnago-mbic8dp002
BUSNAGO,MONZA E DELLA BRIANZA,MBEE8DP025,N. TOMMASEO - BUSNAGO,Scuola Primaria,"VIA S.ROCCO, 20874 BUSNAGO ( MONZA E DELLA BRIANZA )",https://www.docente.it/scuola/n-tommaseo-busnago-mbee8dp025
BUSNAGO,MONZA E DELLA BRIANZA,MB1E04100V,"SCUOLA PRIM.PAR.""COLLEGIO SANT'ANTONIO""",Scuola Primaria,"VIA MANZONI, 20874 BUSNAGO ( MONZA E DELLA BRIANZA )",https://www.docente.it/scuola/scuola-prim-par-collegio-santantonio-busnago-mb1e04100v
BUSNAGO,MONZA E DELLA BRIANZA,MBMM8DP013,DALLA CHIESA E RUSSO - BUSNAGO,Scuola Secondaria di Primo Grado,"VIA DEL CAMPO, 20874 BUSNAGO ( MONZA E DELLA BRIANZA )",https://www.docente.it/scuola/dalla-chiesa-e-russo-busnago-mbmm8dp013
BUSNAGO,MONZA E DELLA BRIANZA,MB1M018003,"SCUOLA SECONDARIA DI 1° GR. ""COLLEGIO S. ANTONIO""",Scuola Secondaria di Primo Grado,"V. MANZONI 13, 20874 BUSNAGO ( MONZA E DELLA BRIANZA )",https://www.docente.it/scuola/scuola-secondaria-di-1-gr-collegio-s-antonio-busnago-mb1m018003
BUSNAGO,MONZA E DELLA BRIANZA,MBPS28500G,"LICEO SCIENTIFICO ""S.ANTONIO""",Scuola Secondaria di Secondo Grado,"V.MANZONI 13, 20040 BUSNAGO ( MONZA E DELLA BRIANZA )",https://www.docente.it/scuola/liceo-scientifico-s-antonio-busnago-mbps28500g
BUSNAGO,MONZA E DELLA BRIANZA,MBPSIE500B,"LICEO SCIENTIFICO OPZ SCIENZE APPLICATE ""COLLEGIO S. ANTONIO""",Scuola Secondaria di Secondo Grado,"VIA MANZONI 13, 20874 BUSNAGO ( MONZA E DELLA BRIANZA )",https://www.docente.it/scuola/liceo-scientifico-opz-scienze-applicate-collegio-s-antonio-busnago-mbpsie500b
BUSNAGO,MONZA E DELLA BRIANZA,MB1A56500T,"SCUOLA DELL'INFANZIA ""COLLEGIO S. ANTONIO""",Scuola dell'Infanzia,"VIA MANZONI13, 20874 BUSNAGO ( MONZA E DELLA BRIANZA )",https://www.docente.it/scuola/scuola-dellinfanzia-collegio-s-antonio-busnago-mb1a56500t
BUSNAGO,MONZA E DELLA BRIANZA,MB1A30500C,"SCUOLA DELL'INFANZIA ""PARROCCHIALE""",Scuola dell'Infanzia,"P.ZZA ROMA34, 20874 BUSNAGO ( MONZA E DELLA BRIANZA )",https://www.docente.it/scuola/scuola-dellinfanzia-parrocchiale-busnago-mb1a30500c
