comune,provincia,codice,nome,grado,indirizzo,url
ADRO,BRESCIA,BSPC12500Q,Liceo Classico quadriennale Madonna della Neve,Scuola Secondaria di Secondo Grado,"Via Nigoline 36, 25030 ADRO ( BRESCIA )",https://www.docente.it/scuola/liceo-classico-quadriennale-madonna-della-neve-adro-bspc12500q
ADRO,BRESCIA,BSPLLZ5006,"Liceo Linguistico ""Madonna della Neve""",Scuola Secondaria di Secondo Grado,"Via Nigoline 36, 25030 ADRO ( BRESCIA )",https://www.docente.it/scuola/liceo-linguistico-madonna-della-neve-adro-bspllz5006
ADRO,BRESCIA,BSPS06500N,"Liceo Scientifico ""Madonna della Neve""",Scuola Secondaria di Secondo Grado,"Via Nigoline 36, 25030 ADRO ( BRESCIA )",https://www.docente.it/scuola/liceo-scientifico-madonna-della-neve-adro-bsps06500n
BUSNAGO,MONZA E DELLA BRIANZA,MBPS28500G,"LICEO SCIENTIFICO ""S.ANTONIO""",Scuola Secondaria di Secondo Grado,"V.MANZONI 13, 20040 BUSNAGO ( MONZA E DELLA BRIANZA )",https://www.docente.it/scuola/liceo-scientifico-s-antonio-busnago-mbps28500g
BUSNAGO,MONZA E DELLA BRIANZA,MBPSIE500B,"LICEO SCIENTIFICO OPZ SCIENZE APPLICATE ""COLLEGIO S. ANTONIO""",Scuola Secondaria di Secondo Grado,"VIA MANZONI 13, 20874 BUSNAGO ( MONZA E DELLA BRIANZA )",https://www.docente.it/scuola/liceo-scientifico-opz-scienze-applicate-collegio-s-antonio-busnago-mbpsie500b
DESIO,MONZA E DELLA BRIANZA,MBTF050001,E. FERMI,Scuola Secondaria di Secondo Grado,"VIA AGNESI24, 20832 DESIO ( MONZA E DELLA BRIANZA )",https://www.docente.it/scuola/e-fermi-desio-mbtf050001
DESIO,MONZA E DELLA BRIANZA,MBTF05050A,ENRICO FERMI,Scuola Secondaria di Secondo Grado,"VIA G. AGNESI 24, 20832 DESIO ( MONZA E DELLA BRIANZA )",https://www.docente.it/scuola/enrico-fermi-desio-mbtf05050a
DESIO,MONZA E DELLA BRIANZA,MBPS10000P,LICEO SCIENTIFICO E CLASSICO E. MAJORANA,Scuola Secondaria di Secondo Grado,"VIA GAETANA AGNESI 20, 20832 DESIO ( MONZA E DELLA BRIANZA )",https://www.docente.it/scuola/liceo-scientifico-e-classico-e-majorana-desio-mbps10000p
FOSSANO,CUNEO,CNTD01701P,"FOSSANO ""E.TESAURO""",Scuola Secondaria di Secondo Grado,"VIA SAN GIOVANNI BOSCO 29, 12045 FOSSANO ( CUNEO )",https://www.docente.it/scuola/fossano-e-tesauro-cntd01701p
FOSSANO,CUNEO,CNTF017022,"FOSSANO ""G.VALLAURI""",Scuola Secondaria di Secondo Grado,"VIA S.MICHELE 68, 12045 FOSSANO ( CUNEO )",https://www.docente.it/scuola/fossano-g-vallauri-cntf017022
