subranking,comune,rank,valore
Docente - media delta vs Italia,MERATE,6,29.5
Docente - media delta vs Italia,FOSSANO,3,32.25
Docente - media delta vs Italia,DESIO,1,34.75
Docente - media delta vs Italia,THIENE,8,25.25
Docente - media delta vs Italia,PRESEZZO,16,21.0
Docente - media delta vs Italia,CUNEO,48,14.25
Docente - media delta vs Italia,VILLORBA,68,12.0
Docente - media delta vs Italia,LONATO DEL GARDA,14,21.75
Docente - media delta vs Italia,CITTADELLA,17,20.75
Docente - media delta vs Italia,SONDRIO,18,20.75
Eduscopio universita - delta vs indirizzo,MERATE,15,11.1435
Eduscopio universita - delta vs indirizzo,FOSSANO,3,17.0375
Eduscopio universita - delta vs indirizzo,DESIO,134,2.7027
Eduscopio universita - delta vs indirizzo,THIENE,6,12.5839
Eduscopio universita - delta vs indirizzo,PRESEZZO,5,12.8983
Eduscopio universita - delta vs indirizzo,CUNEO,2,17.8402
Eduscopio universita - delta vs indirizzo,VILLORBA,21,10.191
Eduscopio universita - delta vs indirizzo,LONATO DEL GARDA,77,5.1327
Eduscopio universita - delta vs indirizzo,CITTADELLA,51,6.8879
Eduscopio universita - delta vs indirizzo,SONDRIO,1,17.9495
Esiti lavoro - delta puro vs indirizzo,MERATE,172,5.8813
Esiti lavoro - delta puro vs indirizzo,FOSSANO,1,27.9328
Esiti lavoro - delta puro vs indirizzo,DESIO,3,23.1894
Esiti lavoro - delta puro vs indirizzo,THIENE,35,13.2697
Esiti lavoro - delta puro vs indirizzo,PRESEZZO,44,12.3369
Esiti lavoro - delta puro vs indirizzo,CUNEO,15,15.4133
Esiti lavoro - delta puro vs indirizzo,VILLORBA,6,20.7673
Esiti lavoro - delta puro vs indirizzo,LONATO DEL GARDA,8,19.5039
Esiti lavoro - delta puro vs indirizzo,CITTADELLA,13,16.3544
Esiti lavoro - delta puro vs indirizzo,SONDRIO,156,6.3685
Esiti lavoro - delta pesato copertura,MERATE,169,2.896
Esiti lavoro - delta pesato copertura,FOSSANO,2,18.3491
Esiti lavoro - delta pesato copertura,DESIO,69,5.7533
Esiti lavoro - delta pesato copertura,THIENE,35,7.8026
Esiti lavoro - delta pesato copertura,PRESEZZO,85,5.1741
Esiti lavoro - delta pesato copertura,CUNEO,34,7.8269
Esiti lavoro - delta pesato copertura,VILLORBA,1,18.6407
Esiti lavoro - delta pesato copertura,LONATO DEL GARDA,3,17.2766
Esiti lavoro - delta pesato copertura,CITTADELLA,24,8.9557
Esiti lavoro - delta pesato copertura,SONDRIO,117,4.2147
Immatricolazione universitaria vs Stato,MERATE,196,0.6092
Immatricolazione universitaria vs Stato,FOSSANO,248,-0.5386
Immatricolazione universitaria vs Stato,DESIO,261,-0.8581
Immatricolazione universitaria vs Stato,THIENE,182,0.8934
Immatricolazione universitaria vs Stato,PRESEZZO,52,4.2671
Immatricolazione universitaria vs Stato,CUNEO,142,1.9076
Immatricolazione universitaria vs Stato,VILLORBA,7,8.4889
Immatricolazione universitaria vs Stato,LONATO DEL GARDA,218,0.1589
Immatricolazione universitaria vs Stato,CITTADELLA,145,1.8677
Immatricolazione universitaria vs Stato,SONDRIO,327,-2.3461
Continuita universitaria vs Stato,MERATE,58,5.3212
Continuita universitaria vs Stato,FOSSANO,69,4.8952
Continuita universitaria vs Stato,DESIO,177,1.2908
Continuita universitaria vs Stato,THIENE,78,4.4182
Continuita universitaria vs Stato,PRESEZZO,24,7.9583
Continuita universitaria vs Stato,CUNEO,30,7.5111
Continuita universitaria vs Stato,VILLORBA,6,9.9088
Continuita universitaria vs Stato,LONATO DEL GARDA,259,-0.9423
Continuita universitaria vs Stato,CITTADELLA,105,3.4038
Continuita universitaria vs Stato,SONDRIO,150,2.1338
Indice finale lavoro pesato copertura,MERATE,2,115.11
Indice finale lavoro pesato copertura,FOSSANO,1,119.52
Indice finale lavoro pesato copertura,DESIO,5,113.73
Indice finale lavoro pesato copertura,THIENE,3,114.55
Indice finale lavoro pesato copertura,PRESEZZO,6,113.6
Indice finale lavoro pesato copertura,CUNEO,8,112.96
Indice finale lavoro pesato copertura,VILLORBA,10,111.47
Indice finale lavoro pesato copertura,LONATO DEL GARDA,13,111.06
Indice finale lavoro pesato copertura,CITTADELLA,12,111.1
Indice finale lavoro pesato copertura,SONDRIO,4,113.95
